Prop ID,PropertyCity,PropertyState,,,,,,,
1,New York,New York,,,,,,,
2,Cincinnati,Ohio,Row Labels,Count of PropertyCity,,,ProductName,ProductCategory,Price
3,Portland,Oregon,Arizona,1,,,#VALUE!,,
4,Seattle,Washington,California,2,,,,,
5,Kansas City,Missouri,Colorado,1,,,,,
6,Orlando,Florida,Florida,1,,,,,
7,Boston,Massachusetts,Georgia,1,,,,,
8,Philadelphia,Pennsylvania,Illinois,1,,,,,
9,Richmond,Virginia,Louisiana,1,,,,,
10,Arlington,Virginia,Massachusetts,1,,,,,
11,Atlanta,Georgia,Missouri,1,,,,,
12,Dallas,Texas,Nevada,1,,,,,
13,New Orleans,Louisiana,New York,1,,,,,
14,Nashville,Tennessee,Ohio,1,,,,,
15,Chicago,Illinois,Oregon,1,,,,,
16,Denver,Colorado,Pennsylvania,1,,,,,
17,Las Vegas,Nevada,Tennessee,1,,,,,
18,Phoenix,Arizona,Texas,1,,,,,
19,Los Angeles,California,Virginia,2,,,,,
20,San Francisco,California,Washington,1,,,,,
,,,Grand Total,20,,,,,
